"","Var1","Var2","Freq"
"1","","      X","Min.   :   1.0  "
"2","","      X","1st Qu.: 250.8  "
"3","","      X","Median : 500.5  "
"4","","      X","Mean   : 500.5  "
"5","","      X","3rd Qu.: 750.2  "
"6","","      X","Max.   :1000.0  "
"7","","     lat","Min.   :-38.59  "
"8","","     lat","1st Qu.:-23.47  "
"9","","     lat","Median :-20.30  "
"10","","     lat","Mean   :-20.64  "
"11","","     lat","3rd Qu.:-17.64  "
"12","","     lat","Max.   :-10.72  "
"13","","     long","Min.   :165.7  "
"14","","     long","1st Qu.:179.6  "
"15","","     long","Median :181.4  "
"16","","     long","Mean   :179.5  "
"17","","     long","3rd Qu.:183.2  "
"18","","     long","Max.   :188.1  "
"19","","    depth","Min.   : 40.0  "
"20","","    depth","1st Qu.: 99.0  "
"21","","    depth","Median :247.0  "
"22","","    depth","Mean   :311.4  "
"23","","    depth","3rd Qu.:543.0  "
"24","","    depth","Max.   :680.0  "
"25","","     mag","Min.   :4.00  "
"26","","     mag","1st Qu.:4.30  "
"27","","     mag","Median :4.60  "
"28","","     mag","Mean   :4.62  "
"29","","     mag","3rd Qu.:4.90  "
"30","","     mag","Max.   :6.40  "
"31","","   stations","Min.   : 10.00  "
"32","","   stations","1st Qu.: 18.00  "
"33","","   stations","Median : 27.00  "
"34","","   stations","Mean   : 33.42  "
"35","","   stations","3rd Qu.: 42.00  "
"36","","   stations","Max.   :132.00  "
